"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2018","1.0097","1.0146","1.0190","1.0032","20.32M","0.15%"
"12/30/2018","1.0058","1.0097","1.0172","0.9990","22.99M","-0.39%"
"01/06/2019","1.0091","1.0058","1.0265","1.0026","55.00M","0.33%"
"01/13/2019","1.0040","1.0091","1.0263","1.0032","47.02M","-0.51%"
"01/20/2019","1.0011","1.0040","1.0238","0.9981","11.31M","-0.28%"
"01/27/2019","0.9904","1.0011","1.0215","0.9903","12.39M","-1.07%"
"02/03/2019","0.9898","0.9904","0.9972","0.9856","17.79M","-0.06%"
"02/10/2019","0.9906","0.9942","0.9983","0.9872","16.07M","0.09%"
"02/17/2019","0.9986","0.9906","1.0066","0.9880","20.80M","0.80%"
"02/24/2019","0.9990","1.0016","1.0211","0.9937","18.47M","0.03%"
"03/03/2019","0.9940","1.0033","1.0048","0.9937","14.19M","-0.49%"
"03/10/2019","0.9985","0.9937","1.0035","0.9933","9.85M","0.45%"
"03/17/2019","0.9965","0.9985","1.0132","0.9941","14.29M","-0.20%"
"03/24/2019","0.9979","0.9965","1.0103","0.9943","10.74M","0.15%"
"03/31/2019","1.0004","0.9979","1.0239","0.9969","32.51M","0.24%"
"04/07/2019","1.0038","1.0004","1.0127","0.9998","69.02M","0.34%"
"04/14/2019","1.0034","1.0038","1.0102","1.0006","25.48M","-0.04%"
"04/21/2019","1.0069","1.0034","1.0150","0.9867","103.76M","0.35%"
"04/28/2019","1.0114","1.0069","1.0445","0.9953","60.49M","0.45%"
"05/05/2019","1.0000","1.0114","174.1763","0.9991","57.21M","-1.13%"
"05/12/2019","1.0012","1.0000","1.0119","0.9906","161.40M","0.12%"
"05/19/2019","1.0030","1.0012","1.0070","0.9988","65.86M","0.18%"
"05/26/2019","1.0002","1.0030","1.0142","0.9963","126.24M","-0.27%"
"06/02/2019","1.0039","1.0002","1.0041","0.9958","62.36M","0.37%"
"06/09/2019","1.0037","1.0039","1.0055","1.0007","70.65M","-0.02%"
"06/16/2019","1.0001","1.0036","1.0062","0.9975","94.96M","-0.36%"
"06/23/2019","0.9989","1.0014","1.0016","0.9817","179.20M","-0.12%"
"06/30/2019","1.0026","0.9989","1.0047","0.9921","97.70M","0.37%"
"07/07/2019","0.9977","1.0026","1.0049","0.9961","77.89M","-0.49%"
"07/14/2019","1.0013","0.9977","1.0034","0.9957","65.32M","0.37%"
"07/21/2019","0.9995","1.0010","1.0026","0.9965","53.30M","-0.18%"
"07/28/2019","1.0011","0.9995","1.0033","0.9964","46.94M","0.16%"
"08/04/2019","0.9987","1.0011","1.0030","0.9976","66.58M","-0.25%"
"08/11/2019","1.0031","0.9987","1.0039","0.9979","36.51M","0.44%"
"08/18/2019","1.0031","1.0031","1.0054","0.9992","30.50M","0.00%"
"08/25/2019","1.0035","1.0031","1.0094","0.9989","34.71M","0.04%"
"09/01/2019","1.0048","1.0035","1.0116","1.0008","38.57M","0.13%"
"09/08/2019","1.0044","1.0052","1.0114","1.0009","23.15M","-0.03%"
"09/15/2019","1.0033","1.0055","1.0062","1.0015","32.32M","-0.11%"
"09/22/2019","1.0041","1.0037","1.0182","0.9991","74.58M","0.08%"
"09/29/2019","1.0075","1.0043","1.0099","1.0037","34.23M","0.33%"
"10/06/2019","1.0059","1.0075","1.0108","1.0021","40.85M","-0.15%"
"10/13/2019","1.0061","1.0099","1.0102","1.0026","25.73M","0.02%"
"10/20/2019","1.0042","1.0061","1.0114","1.0018","46.20M","-0.19%"
"10/27/2019","1.0036","1.0042","1.0050","1.0015","43.68M","-0.06%"
"11/03/2019","1.0028","1.0036","1.0050","0.9994","38.36M","-0.08%"
"11/10/2019","1.0040","1.0039","1.0060","1.0007","28.52M","0.12%"
"11/17/2019","1.0068","1.0040","1.0084","1.0017","49.01M","0.29%"
"11/24/2019","1.0088","1.0084","1.0154","1.0046","51.35M","0.20%"
"12/01/2019","1.0093","1.0089","1.0136","1.0042","34.31M","0.04%"
"12/08/2019","1.0081","1.0115","1.0122","1.0022","33.23M","-0.12%"
"12/15/2019","1.0066","1.0081","1.0139","1.0032","46.64M","-0.15%"
"12/22/2019","1.0041","1.0114","1.0198","1.0008","26.47M","-0.24%"
"12/29/2019","1.0050","1.0041","1.0167","1.0016","22.23M","0.09%"
"01/05/2020","1.0010","1.0050","1.0083","1.0008","40.53M","-0.40%"
"01/12/2020","0.9999","1.0011","1.0043","0.9959","70.00M","-0.11%"
"01/19/2020","1.0026","0.9999","1.0038","0.9976","28.51M","0.27%"
"01/26/2020","1.0014","1.0026","1.0061","0.9986","34.00M","-0.12%"
"02/02/2020","0.9997","1.0014","1.0027","0.9997","51.43M","-0.16%"
"02/09/2020","1.0002","0.9997","1.0034","0.9982","71.13M","0.05%"
"02/16/2020","1.0044","1.0002","1.0048","0.9990","60.69M","0.42%"
"02/23/2020","1.0045","1.0045","1.0057","1.0008","47.37M","0.01%"
"03/01/2020","1.0047","1.0064","1.0080","1.0023","36.15M","0.01%"
"03/08/2020","1.0084","1.0047","1.0667","1.0008","232.71M","0.37%"
"03/15/2020","1.0032","1.0084","1.0265","1.0012","116.88M","-0.52%"
"03/22/2020","1.0034","1.0032","1.0077","1.0027","57.70M","0.02%"
"03/29/2020","1.0040","1.0034","1.0066","1.0021","50.14M","0.06%"
"04/05/2020","1.0027","1.0059","1.0061","1.0010","67.06M","-0.13%"
"04/12/2020","1.0020","1.0027","1.0063","1.0017","49.12M","-0.07%"
"04/19/2020","1.0011","1.0020","1.0056","1.0005","54.06M","-0.08%"
"04/26/2020","1.0010","1.0011","1.0020","0.9986","84.59M","-0.01%"
"05/03/2020","1.0002","1.0007","1.0015","0.9999","80.24M","-0.09%"
"05/10/2020","0.9999","1.0003","1.0024","0.9988","95.16M","-0.02%"
"05/17/2020","1.0003","0.9999","1.0006","0.9992","93.79M","0.03%"
"05/24/2020","0.9998","1.0003","1.0019","0.9992","55.31M","-0.05%"
"05/31/2020","0.9999","0.9995","1.0028","0.9989","79.59M","0.01%"
"06/07/2020","1.0001","0.9999","1.0012","0.9983","61.42M","0.02%"
"06/14/2020","1.0007","1.0001","1.0014","0.9992","58.01M","0.05%"
"06/21/2020","0.9997","1.0013","1.0015","0.9995","71.27M","-0.09%"
"06/28/2020","1.0010","0.9997","1.0016","0.9994","72.11M","0.13%"
"07/05/2020","1.0011","1.0010","1.0018","1.0003","104.61M","0.01%"
"07/12/2020","1.0011","1.0011","1.0016","0.9997","90.12M","0.00%"
"07/19/2020","1.0012","1.0015","1.0027","1.0009","163.48M","0.01%"
"07/26/2020","1.0005","1.0012","1.0031","0.9993","194.41M","-0.07%"
"08/02/2020","1.0001","1.0004","1.0017","0.9985","179.84M","-0.03%"
"08/09/2020","1.0012","1.0001","1.0025","0.9991","189.37M","0.11%"
"08/16/2020","1.0008","1.0012","1.0031","1.0000","223.40M","-0.04%"
"08/23/2020","1.0011","1.0008","1.0021","1.0002","219.38M","0.02%"
"08/30/2020","1.0019","1.0011","1.0030","1.0006","258.98M","0.08%"
"09/06/2020","1.0010","1.0019","1.0030","1.0006","207.53M","-0.09%"
"09/13/2020","1.0012","1.0013","1.0023","1.0003","205.92M","0.02%"
"09/20/2020","1.0017","1.0012","1.0027","1.0002","217.77M","0.05%"
"09/27/2020","1.0013","1.0019","1.0030","1.0003","223.50M","-0.04%"
"10/04/2020","1.0011","1.0013","1.0023","1.0000","236.92M","-0.03%"
"10/11/2020","1.0009","1.0011","1.0021","1.0005","209.53M","-0.02%"
"10/18/2020","1.0009","1.0009","1.0022","1.0004","214.63M","0.00%"
"10/25/2020","1.0001","1.0009","1.0014","0.9998","214.58M","-0.08%"
"11/01/2020","1.0016","1.0001","1.0024","0.9980","343.71M","0.15%"
"11/08/2020","1.0002","1.0016","1.0022","0.9984","335.53M","-0.14%"
"11/15/2020","0.9984","1.0002","1.0333","0.9983","469.79M","-0.18%"
"11/22/2020","1.0010","0.9994","1.0036","0.9985","744.19M","0.26%"
"11/29/2020","1.0006","1.0010","1.0028","0.9994","610.00M","-0.04%"
"12/06/2020","1.0005","1.0006","1.0036","0.9995","593.64M","-0.01%"
"12/13/2020","1.0002","1.0005","1.0022","0.9961","751.68M","-0.03%"
"12/20/2020","0.9983","1.0002","1.0011","0.9979","849.18M","-0.19%"
"12/27/2020","1.0003","0.9983","1.0020","0.9954","858.77M","0.20%"
"01/03/2021","1.0027","0.9998","1.0030","0.9969","1.63B","0.24%"
"01/10/2021","1.0003","1.0028","1.0036","0.9979","1.48B","-0.24%"
"01/17/2021","1.0004","1.0003","1.0041","0.9979","1.24B","0.01%"
"01/24/2021","1.0013","1.0004","1.0045","0.9992","1.50B","0.09%"
"01/31/2021","1.0010","1.0013","1.0034","0.9992","1.13B","-0.03%"
"02/07/2021","1.0005","1.0009","1.0039","0.9994","1.51B","-0.05%"
"02/14/2021","0.9997","1.0006","1.0019","0.9991","1.16B","-0.08%"
"02/21/2021","1.0013","0.9993","1.0017","0.9957","2.00B","0.15%"
"02/28/2021","1.0002","1.0013","1.0030","0.9989","1.22B","-0.11%"
"03/07/2021","0.9999","1.0002","1.0019","0.9994","1.11B","-0.02%"
"03/14/2021","0.9997","1.0000","1.0021","0.9984","1.40B","-0.02%"
"03/21/2021","1.0004","0.9997","1.0012","0.9986","1.45B","0.07%"
"03/28/2021","0.9996","1.0004","1.0018","0.9991","1.38B","-0.08%"
