"Date","Price","Open","High","Low","Vol.","Change %"
"12/11/2016","0.0065","0.0067","0.0069","0.0065","1.50M","-3.74%"
"12/18/2016","0.0064","0.0065","0.0067","0.0060","3.21M","-0.80%"
"12/25/2016","0.0065","0.0064","0.0069","0.0060","3.39M","1.13%"
"01/01/2017","0.0064","0.0065","0.0069","0.0057","1.97B","-2.27%"
"01/08/2017","0.0068","0.0064","0.0071","0.0061","17.58M","6.79%"
"01/15/2017","0.0068","0.0068","0.0072","0.0064","28.83M","0.00%"
"01/22/2017","0.0064","0.0068","0.0068","0.0030","16.13M","-6.58%"
"01/29/2017","0.0064","0.0064","0.0066","0.0062","18.80M","0.00%"
"02/05/2017","0.0064","0.0064","0.0065","0.0060","26.29M","-0.93%"
"02/12/2017","0.0055","0.0064","0.0064","0.0050","100.48M","-13.17%"
"02/19/2017","0.0056","0.0055","0.0060","0.0055","23.12M","1.62%"
"02/26/2017","0.0062","0.0056","0.0067","0.0052","90.99M","10.12%"
"03/05/2017","0.0063","0.0062","0.0069","0.0058","128.40M","0.00%"
"03/12/2017","0.0069","0.0063","0.0073","0.0058","221.68M","10.08%"
"03/19/2017","0.0089","0.0069","0.0118","0.0064","436.17M","29.07%"
"03/26/2017","0.0220","0.0089","0.0232","0.0089","554.66M","147.75%"
"04/02/2017","0.0358","0.0220","0.0695","0.0075","1.27B","62.50%"
"04/09/2017","0.0338","0.0358","0.0359","0.0320","212.36M","-5.43%"
"04/16/2017","0.0316","0.0338","0.0347","0.0264","268.29M","-6.54%"
"04/23/2017","0.0538","0.0316","0.0595","0.0309","401.72M","70.35%"
"04/30/2017","0.1001","0.0538","0.1050","0.0490","653.72M","85.96%"
"05/07/2017","0.2102","0.1001","0.2240","0.0972","620.69M","109.99%"
"05/14/2017","0.3449","0.2102","0.3989","0.2076","451.25M","64.08%"
"05/21/2017","0.2100","0.3449","0.3600","0.1350","478.29M","-39.11%"
"05/28/2017","0.2921","0.2100","0.3400","0.1868","394.69M","39.10%"
"06/04/2017","0.2598","0.2921","0.3100","0.2555","192.42M","-11.06%"
"06/11/2017","0.2597","0.2598","0.3000","0.2140","256.70M","-0.04%"
"06/18/2017","0.2775","0.2597","0.3250","0.2470","325.16M","6.85%"
"06/25/2017","0.2386","0.2775","0.2816","0.2184","208.89M","-14.02%"
"07/02/2017","0.2300","0.2386","0.2581","0.2112","137.61M","-3.60%"
"07/09/2017","0.1720","0.2300","0.2422","0.1511","303.04M","-25.22%"
"07/16/2017","0.1977","0.1720","0.2022","0.1275","457.03M","14.94%"
"07/23/2017","0.1690","0.1977","0.2065","0.1550","247.76M","-14.52%"
"07/30/2017","0.1848","0.1690","0.1928","0.1585","246.27M","9.35%"
"08/06/2017","0.1716","0.1848","0.1972","0.1707","289.00M","-7.14%"
"08/13/2017","0.1526","0.1716","0.1801","0.1483","372.13M","-11.07%"
"08/20/2017","0.2097","0.1526","0.2977","0.1494","1.24B","37.42%"
"08/27/2017","0.2252","0.2097","0.2648","0.1930","697.55M","7.39%"
"09/03/2017","0.2130","0.2252","0.2381","0.1901","467.44M","-5.42%"
"09/10/2017","0.1828","0.2130","0.2243","0.1483","522.52M","-14.18%"
"09/17/2017","0.1791","0.1828","0.1946","0.1675","269.80M","-2.02%"
"09/24/2017","0.1999","0.1791","0.2146","0.1733","369.69M","11.61%"
"10/01/2017","0.2397","0.1999","0.2444","0.1965","451.14M","19.91%"
"10/08/2017","0.2556","0.2397","0.2811","0.2330","889.78M","6.63%"
"10/15/2017","0.2097","0.2556","0.2977","0.1971","1.00B","-17.96%"
"10/22/2017","0.1982","0.2097","0.2169","0.1830","402.28M","-5.48%"
"10/29/2017","0.2015","0.1981","0.2263","0.1755","403.57M","1.66%"
"11/05/2017","0.2092","0.2014","0.2235","0.1981","461.49M","3.82%"
"11/12/2017","0.2275","0.2092","0.2809","0.1861","1.01B","8.75%"
"11/19/2017","0.2488","0.2275","0.2531","0.2231","703.74M","9.36%"
"11/26/2017","0.2441","0.2489","0.2806","0.2128","1.04B","-1.89%"
"12/03/2017","0.2353","0.2441","0.2586","0.2005","1.29B","-3.61%"
"12/10/2017","0.7397","0.2353","0.8809","0.2223","3.65B","214.36%"
"12/17/2017","1.0100","0.7397","1.2400","0.6203","3.03B","36.54%"
"12/24/2017","1.8600","1.0100","2.4400","0.8253","2.53B","84.16%"
"12/31/2017","2.6500","1.8600","3.2900","1.6100","1.95B","42.47%"
"01/07/2018","2.0401","2.6500","2.8200","1.6439","439.40M","-23.02%"
"01/14/2018","1.6015","2.0399","2.0414","0.8853","","-21.50%"
"01/21/2018","1.2214","1.6010","1.6020","1.1210","1.28B","-23.73%"
"01/28/2018","0.9598","1.2215","1.3939","0.6653","1.93B","-21.42%"
"02/04/2018","1.0289","0.9599","1.2286","0.5746","2.63B","7.20%"
"02/11/2018","1.1781","1.0286","1.2027","0.8941","1.37B","14.50%"
"02/18/2018","0.9022","1.1781","1.1791","0.8537","882.31M","-23.42%"
"02/25/2018","0.8985","0.9022","0.9580","0.8763","490.62M","-0.40%"
"03/04/2018","0.7755","0.8985","1.0851","0.7336","1.41B","-13.70%"
"03/11/2018","0.6295","0.7755","0.8299","0.6172","875.57M","-18.82%"
"03/18/2018","0.6291","0.6294","0.7242","0.5394","1.24B","-0.06%"
"03/25/2018","0.5009","0.6292","0.6543","0.4737","956.45M","-20.38%"
"04/01/2018","0.4856","0.5013","0.5526","0.4558","778.16M","-3.05%"
"04/08/2018","0.6405","0.4856","0.7090","0.4767","1.38B","31.89%"
"04/15/2018","0.8658","0.6405","0.9362","0.6369","1.55B","35.19%"
"04/22/2018","0.8629","0.8662","0.9643","0.6779","1.60B","-0.34%"
"04/29/2018","0.9012","0.8629","0.9305","0.7826","1.16B","4.44%"
"05/06/2018","0.6832","0.9015","0.9175","0.6230","1.30B","-24.19%"
"05/13/2018","0.6739","0.6850","0.7495","0.6474","1.11B","-1.36%"
"05/20/2018","0.6088","0.6739","0.7047","0.5752","859.38M","-9.66%"
"05/27/2018","0.6429","0.6088","0.6506","0.5444","943.58M","5.60%"
"06/03/2018","0.6586","0.6429","0.7043","0.6347","908.57M","2.45%"
"06/10/2018","0.5330","0.6586","0.6587","0.5052","1.06B","-19.07%"
"06/17/2018","0.4898","0.5330","0.5612","0.4714","803.32M","-8.09%"
"06/24/2018","0.4649","0.4903","0.4953","0.4257","979.12M","-5.10%"
"07/01/2018","0.4857","0.4649","0.5166","0.4497","1.47B","4.48%"
"07/08/2018","0.4385","0.4857","0.4872","0.4252","990.84M","-9.72%"
"07/15/2018","0.4550","0.4385","0.5236","0.4311","1.23B","3.77%"
"07/22/2018","0.4568","0.4550","0.4690","0.4385","901.37M","0.38%"
"07/29/2018","0.4297","0.4568","0.4626","0.4260","1.07B","-5.93%"
"08/05/2018","0.2976","0.4296","0.4367","0.2881","1.50B","-30.75%"
"08/12/2018","0.3284","0.2975","0.3736","0.2471","2.06B","10.36%"
"08/19/2018","0.3273","0.3284","0.3542","0.3129","1.81B","-0.34%"
"08/26/2018","0.3469","0.3273","0.3573","0.3186","1.49B","6.01%"
"09/02/2018","0.2767","0.3469","0.3491","0.2689","1.68B","-20.23%"
"09/09/2018","0.2804","0.2767","0.2904","0.2534","1.62B","1.33%"
"09/16/2018","0.5734","0.2804","0.7885","0.2671","7.14B","104.48%"
"09/23/2018","0.5698","0.5734","0.5972","0.4363","4.63B","-0.62%"
"09/30/2018","0.4888","0.5698","0.6206","0.4691","3.46B","-14.21%"
"10/07/2018","0.4224","0.4889","0.4999","0.3782","3.06B","-13.60%"
"10/14/2018","0.4671","0.4224","0.5100","0.3990","2.65B","10.60%"
"10/21/2018","0.4597","0.4671","0.4830","0.4439","1.20B","-1.58%"
"10/28/2018","0.4568","0.4599","0.4663","0.4367","1.14B","-0.63%"
"11/04/2018","0.5084","0.4569","0.5651","0.4497","2.16B","11.30%"
"11/11/2018","0.4976","0.5084","0.5323","0.4238","2.26B","-2.13%"
"11/18/2018","0.3794","0.4979","0.5297","0.3703","3.50B","-23.75%"
"11/25/2018","0.3733","0.3793","0.4033","0.3280","3.37B","-1.62%"
"12/02/2018","0.3041","0.3733","0.3807","0.2887","1.80B","-18.52%"
"12/09/2018","0.2855","0.3041","0.3216","0.2816","1.13B","-6.13%"
"12/16/2018","0.3603","0.2855","0.3947","0.2853","2.80B","26.21%"
"12/23/2018","0.3594","0.3603","0.4527","0.3296","3.03B","-0.25%"
"12/30/2018","0.3511","0.3594","0.3768","0.3466","1.46B","-2.33%"
"01/06/2019","0.3271","0.3511","0.3814","0.3195","1.75B","-6.81%"
"01/13/2019","0.3285","0.3271","0.3353","0.3107","1.43B","0.43%"
"01/20/2019","0.3130","0.3286","0.3305","0.3076","845.41M","-4.72%"
"01/27/2019","0.3103","0.3130","0.3360","0.2818","2.32B","-0.86%"
"02/03/2019","0.3122","0.3103","0.3201","0.2888","1.74B","0.60%"
"02/10/2019","0.3008","0.3122","0.3133","0.2980","1.61B","-3.64%"
"02/17/2019","0.3328","0.3009","0.3477","0.2989","3.08B","10.64%"
"02/24/2019","0.3141","0.3329","0.3436","0.2948","3.96B","-5.63%"
"03/03/2019","0.3139","0.3141","0.3216","0.2979","2.35B","-0.07%"
"03/10/2019","0.3187","0.3139","0.3252","0.3064","2.23B","1.54%"
"03/17/2019","0.3117","0.3187","0.3223","0.3028","2.24B","-2.20%"
"03/24/2019","0.3110","0.3117","0.3181","0.2941","2.81B","-0.21%"
"03/31/2019","0.3526","0.3110","0.3794","0.3074","8.78B","13.35%"
"04/07/2019","0.3248","0.3526","0.3702","0.3146","5.27B","-7.87%"
"04/14/2019","0.3273","0.3248","0.3447","0.3143","7.24B","0.78%"
"04/21/2019","0.2990","0.3273","0.3314","0.2869","8.84B","-8.67%"
"04/28/2019","0.3037","0.2990","0.3171","0.2919","6.56B","1.58%"
"05/05/2019","0.3219","0.3037","0.3377","0.2930","6.77B","6.00%"
"05/12/2019","0.3719","0.3218","0.4780","0.3058","24.73B","15.55%"
"05/19/2019","0.3854","0.3719","0.4248","0.3635","13.06B","3.61%"
"05/26/2019","0.4289","0.3854","0.4723","0.3756","15.18B","11.31%"
"06/02/2019","0.4072","0.4289","0.4634","0.3853","12.20B","-5.06%"
"06/09/2019","0.4095","0.4072","0.4120","0.3723","8.66B","0.55%"
"06/16/2019","0.4771","0.4095","0.5055","0.4068","11.45B","16.51%"
"06/23/2019","0.4267","0.4771","0.4958","0.3949","14.40B","-10.55%"
"06/30/2019","0.3902","0.4267","0.4283","0.3749","9.21B","-8.56%"
"07/07/2019","0.3321","0.3902","0.4065","0.3194","10.76B","-14.90%"
"07/14/2019","0.3329","0.3320","0.3403","0.2861","10.66B","0.24%"
"07/21/2019","0.3099","0.3328","0.3347","0.3041","7.29B","-6.89%"
"07/28/2019","0.3160","0.3099","0.3232","0.3009","6.20B","1.96%"
"08/04/2019","0.2992","0.3160","0.3307","0.2904","7.48B","-5.31%"
"08/11/2019","0.2654","0.2992","0.3059","0.2402","12.16B","-11.30%"
"08/18/2019","0.2714","0.2654","0.2714","0.2592","12.32B","2.23%"
"08/25/2019","0.2576","0.2714","0.2794","0.2477","6.65B","-5.08%"
"09/01/2019","0.2600","0.2576","0.2661","0.2480","6.65B","0.93%"
"09/08/2019","0.2613","0.2600","0.2657","0.2510","6.39B","0.50%"
"09/15/2019","0.2897","0.2613","0.3257","0.2572","12.05B","10.87%"
"09/22/2019","0.2419","0.2897","0.2898","0.2252","12.61B","-16.51%"
"09/29/2019","0.2532","0.2419","0.2613","0.2348","8.79B","4.68%"
"10/06/2019","0.2724","0.2532","0.2863","0.2510","11.71B","7.58%"
"10/13/2019","0.2913","0.2724","0.3030","0.2716","13.71B","6.96%"
"10/20/2019","0.2938","0.2913","0.3120","0.2516","14.87B","0.83%"
"10/27/2019","0.2947","0.2937","0.3091","0.2854","13.63B","0.32%"
"11/03/2019","0.2799","0.2947","0.3142","0.2719","13.74B","-5.03%"
"11/10/2019","0.2622","0.2799","0.2837","0.2540","10.64B","-6.31%"
"11/17/2019","0.2340","0.2622","0.2659","0.2222","12.26B","-10.75%"
"11/24/2019","0.2255","0.2340","0.2346","0.2027","11.84B","-3.64%"
"12/01/2019","0.2271","0.2255","0.2279","0.2099","10.81B","0.71%"
"12/08/2019","0.2163","0.2271","0.2318","0.2151","9.03B","-4.74%"
"12/15/2019","0.1915","0.2163","0.2191","0.1755","15.38B","-11.49%"
"12/22/2019","0.1931","0.1915","0.1982","0.1854","10.68B","0.85%"
"12/29/2019","0.1931","0.1931","0.1983","0.1846","10.52B","0.00%"
"01/05/2020","0.2114","0.1931","0.2250","0.1929","15.53B","9.46%"
"01/12/2020","0.2435","0.2113","0.3232","0.2097","17.51B","15.20%"
"01/19/2020","0.2196","0.2435","0.2512","0.2140","11.91B","-9.82%"
"01/26/2020","0.2413","0.2196","0.2459","0.2182","12.26B","9.89%"
"02/02/2020","0.2776","0.2413","0.2880","0.2413","17.97B","15.05%"
"02/09/2020","0.3075","0.2776","0.3455","0.2676","24.00B","10.77%"
"02/16/2020","0.2749","0.3075","0.3188","0.2628","23.14B","-10.61%"
"02/23/2020","0.2290","0.2749","0.2843","0.2231","19.39B","-16.69%"
"03/01/2020","0.2362","0.2290","0.2462","0.2244","14.84B","3.15%"
"03/08/2020","0.1460","0.2362","0.2362","0.1057","50.78B","-38.21%"
"03/15/2020","0.1579","0.1460","0.1745","0.1287","38.41B","8.17%"
"03/22/2020","0.1755","0.1579","0.1871","0.1454","27.74B","11.13%"
"03/29/2020","0.1812","0.1755","0.1859","0.1622","23.53B","3.28%"
"04/05/2020","0.1884","0.1812","0.2050","0.1769","20.62B","3.97%"
"04/12/2020","0.1953","0.1884","0.1967","0.1743","18.85B","3.67%"
"04/19/2020","0.1942","0.1953","0.1986","0.1789","17.78B","-0.57%"
"04/26/2020","0.2237","0.1942","0.2355","0.1928","20.56B","15.20%"
"05/03/2020","0.2165","0.2237","0.2265","0.2073","17.91B","-3.24%"
"05/10/2020","0.1998","0.2165","0.2165","0.1824","17.74B","-7.70%"
"05/17/2020","0.1988","0.1998","0.2078","0.1901","9.63B","-0.49%"
"05/24/2020","0.2070","0.1988","0.2075","0.1905","8.54B","4.13%"
"05/31/2020","0.2037","0.2070","0.2145","0.1983","10.33B","-1.61%"
"06/07/2020","0.1924","0.2037","0.2050","0.1854","6.79B","-5.54%"
"06/14/2020","0.1879","0.1924","0.1985","0.1824","6.62B","-2.33%"
"06/21/2020","0.1751","0.1879","0.1904","0.1695","6.59B","-6.81%"
"06/28/2020","0.1781","0.1751","0.1796","0.1724","5.69B","1.68%"
"07/05/2020","0.2011","0.1781","0.2116","0.1740","10.19B","12.95%"
"07/12/2020","0.1999","0.2011","0.2064","0.1891","6.77B","-0.63%"
"07/19/2020","0.2146","0.1999","0.2174","0.1929","7.27B","7.38%"
"07/26/2020","0.2910","0.2410","0.2974","0.2374","13.59B","35.58%"
"08/02/2020","0.2952","0.2910","0.3252","0.2556","19.02B","1.46%"
"08/09/2020","0.2989","0.2953","0.3071","0.2708","13.83B","1.22%"
"08/16/2020","0.2861","0.2988","0.3267","0.2735","12.98B","-4.27%"
"08/23/2020","0.2738","0.2861","0.2919","0.2549","8.23B","-4.29%"
"08/30/2020","0.2374","0.2738","0.3037","0.2315","12.14B","-13.32%"
"09/06/2020","0.2475","0.2374","0.2487","0.2298","10.98B","4.26%"
"09/13/2020","0.2511","0.2474","0.2582","0.2343","7.51B","1.47%"
"09/20/2020","0.2416","0.2508","0.2513","0.2195","6.11B","-3.80%"
"09/27/2020","0.2327","0.2415","0.2484","0.2285","8.50B","-3.66%"
"10/04/2020","0.2539","0.2326","0.2601","0.2315","8.54B","9.10%"
"10/11/2020","0.2406","0.2539","0.2600","0.2377","8.31B","-5.25%"
"10/18/2020","0.2561","0.2406","0.2635","0.2401","6.97B","6.45%"
"10/25/2020","0.2397","0.2561","0.2590","0.2314","6.60B","-6.40%"
"11/01/2020","0.2490","0.2397","0.2673","0.2280","7.11B","3.86%"
"11/08/2020","0.2681","0.2490","0.2771","0.2456","6.44B","7.67%"
"11/15/2020","0.4634","0.2681","0.4680","0.2641","8.95B","72.87%"
"11/22/2020","0.6260","0.4629","0.7788","0.4108","25.23B","35.07%"
"11/29/2020","0.5853","0.6258","0.6795","0.5440","10.85B","-6.49%"
"12/06/2020","0.5059","0.5855","0.6272","0.4858","9.95B","-13.57%"
"12/13/2020","0.5766","0.5059","0.6586","0.4399","13.12B","13.97%"
"12/20/2020","0.2946","0.5766","0.5864","0.2152","32.11B","-48.90%"
"12/27/2020","0.2210","0.2946","0.3099","0.1743","26.67B","-24.99%"
"01/03/2021","0.3243","0.2209","0.3688","0.2154","26.32B","46.77%"
"01/10/2021","0.2795","0.3243","0.3666","0.2558","15.00B","-13.82%"
"01/17/2021","0.2717","0.2792","0.3279","0.2416","9.69B","-2.81%"
"01/24/2021","0.4430","0.2716","0.5088","0.2444","9.93B","63.09%"
"01/31/2021","0.4427","0.4433","0.7536","0.3413","34.45B","-0.07%"
"02/07/2021","0.6330","0.4427","0.6421","0.3979","15.68B","42.98%"
"02/14/2021","0.5120","0.6335","0.6379","0.4752","11.18B","-19.12%"
"02/21/2021","0.4357","0.5120","0.6462","0.3672","16.31B","-14.89%"
"02/28/2021","0.4630","0.4358","0.4938","0.3934","7.80B","6.25%"
"03/07/2021","0.4577","0.4630","0.4880","0.4251","5.71B","-1.14%"
"03/14/2021","0.5245","0.4577","0.5497","0.4235","6.50B","14.59%"
"03/21/2021","0.5479","0.5246","0.5995","0.4539","11.54B","4.47%"
"03/28/2021","0.5789","0.5479","0.6414","0.5309","7.23B","5.65%"
"04/04/2021","1.3743","0.5789","1.3953","0.5688","21.78B","137.42%"
"04/11/2021","1.5406","1.3743","1.9633","1.3084","20.15B","12.10%"
"04/18/2021","1.0501","1.5396","1.5627","0.8937","21.43B","-31.84%"
"04/25/2021","1.6507","1.0501","1.6646","0.9509","14.78B","57.19%"
"05/02/2021","1.5624","1.6507","1.7600","1.3549","11.36B","-5.35%"
"05/09/2021","1.4859","1.5623","1.6261","1.2054","10.37B","-4.89%"
"05/16/2021","0.9050","1.4859","1.6998","0.8201","20.80B","-39.09%"
"05/23/2021","0.8304","0.9050","1.0664","0.6507","14.51B","-8.24%"
"05/30/2021","0.9227","0.8304","1.0973","0.7988","8.92B","11.12%"
"06/06/2021","0.8312","0.9227","0.9738","0.7858","6.02B","-9.92%"
"06/13/2021","0.7598","0.8316","0.9269","0.7559","4.03B","-8.60%"
"06/20/2021","0.6166","0.7596","0.7841","0.5102","9.64B","-18.84%"
"06/27/2021","0.6764","0.6167","0.7285","0.5973","4.90B","9.70%"
"07/04/2021","0.6251","0.6764","0.7088","0.5934","3.55B","-7.59%"
"07/11/2021","0.5816","0.6247","0.6570","0.5679","2.98B","-6.95%"
"07/18/2021","0.6067","0.5817","0.6138","0.5176","3.60B","4.30%"
"07/25/2021","0.7443","0.6050","0.7691","0.5911","6.06B","22.70%"
"08/01/2021","0.8167","0.7444","0.8181","0.6973","3.54B","9.72%"
"08/08/2021","1.2802","0.8167","1.3089","0.7606","7.33B","56.75%"
"08/15/2021","1.2166","1.2802","1.3481","1.0522","8.18B","-4.96%"
"08/22/2021","1.1449","1.2165","1.3029","1.0521","5.58B","-5.89%"
"08/29/2021","1.2548","1.1449","1.3223","1.0915","4.98B","9.60%"
"09/05/2021","1.0788","1.2549","1.4152","0.9617","8.13B","-14.03%"
"09/12/2021","1.0756","1.0788","1.1297","1.0267","3.38B","-0.30%"
"09/19/2021","0.9401","1.0756","1.0835","0.8590","5.76B","-12.59%"
"09/26/2021","1.0362","0.9401","1.0699","0.8866","4.40B","10.22%"
"10/03/2021","1.1594","1.0362","1.2081","1.0067","3.89B","11.89%"
"10/10/2021","1.1340","1.1604","1.2216","1.0659","4.85B","-2.19%"
"10/17/2021","1.0935","1.1340","1.1634","1.0248","3.40B","-3.57%"
"10/24/2021","1.0841","1.0935","1.1593","0.9547","4.39B","-0.87%"
